Name,Price,Model Year,Mileage,Engine Type,Transmission,Registered City,Color,Assembly,Body Type,Capacity
Honda City 1.2L CVT 2022,3975000.0,2022,10,Petrol,Automatic,Un-Registered,Black,Local,Compact sedan,1200 cc
Toyota Vitz F 1.0 2012,2080000.0,2012,91000,Petrol,Automatic,Lahore,White,Imported,Hatchback,1000 cc
Suzuki Cultus Limited Edition 2016,1680000.0,2016,60000,Petrol,Manual,Islamabad,White,Local,Hatchback,1000 cc
Honda Fit 2014,2675000.0,2014,116000,Hybrid,Automatic,Karachi,Silver,Imported,,1500 cc
Toyota Premio X EX Package 1.8 2007,3879999.9999999995,2007,112000,Petrol,Automatic,Islamabad,Black,Imported,Sedan,1800 cc
Toyota Corolla GLi Automatic Limited Edition 1.6 VVTi 2011,2300000.0,2011,92000,Petrol,Automatic,Karachi,Grey,Local,Sedan,1600 cc
Honda Insight EX 2019,9000000.0,2019,40242,Hybrid,Automatic,Un-Registered,White,Imported,Sedan,1500 cc
KIA Sorento 3.5 FWD 2021,8550000.0,2021,21000,Petrol,Automatic,Islamabad,White,Local,Compact SUV,3500 cc
Toyota Corolla Axio Hybrid 1.5 2015,4000000.0,2015,96681,Petrol,Automatic,Islamabad,White,Imported,Sedan,1500 cc
Suzuki Cultus VXLi 2009,1090000.0,2009,80000,Petrol,Manual,Islamabad,White,Local,Hatchback,1000 cc
Suzuki Cultus VXL 2021,3000000.0,2021,35000,Petrol,Manual,Punjab,Grey,Local,Hatchback,1000 cc
Audi A4 S-Line Competition 2016,9000000.0,2016,90000,Petrol,Automatic,Lahore,White,Imported,Sedan,2000 cc
Suzuki Alto VXR (CNG) 2007,690000.0,2007,180000,Petrol,Manual,Karachi,Beige,Local,Hatchback,1000 cc
Suzuki Alto TURBO RS 2017,1900000.0,2017,130000,Petrol,Automatic,Islamabad,White,Imported,Hatchback,660 cc
Honda City 1.3 i-VTEC 2017,2700000.0,2017,104000,Petrol,Manual,Lahore,White,Local,Sedan,1300 cc
Toyota Premio F 1.5 2002,1700000.0,2002,80000,Petrol,Automatic,Karachi,Blue,Imported,Sedan,1500 cc
Changan Karvaan Plus 2022,2540000.0,2022,10,Petrol,Manual,Un-Registered,White,Local,Mini Van,1000 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,5395000.0,2021,30127,Petrol,Automatic,Islamabad,Black,Local,Sedan,1800 cc
Toyota Corolla Altis Automatic 1.6 2016,3340000.0,2016,66000,Petrol,Automatic,Sialkot,White,Local,Sedan,1600 cc
Suzuki Baleno 2003,950000.0,2003,10,Petrol,Manual,Sindh,White,Local,,1600 cc
Honda Civic EX 1994,715000.0,1994,137000,Petrol,Manual,Islamabad,Black,Local,Sedan,1500 cc
Suzuki Mehran VXR Euro II 2018,1390000.0,2018,25000,Petrol,Manual,Islamabad,White,Local,Hatchback,796 cc
KIA Sportage Alpha 2021,5750000.0,2021,25000,Petrol,Automatic,Sialkot,Silver,Local,SUV,2000 cc
Daihatsu Mira L 2019,3000000.0,2019,81000,Petrol,Automatic,Un-Registered,White,Imported,Hatchback,660 cc
Toyota Vitz F 1.0 2014,1850000.0,2014,92000,Petrol,Automatic,Islamabad,Silver,Imported,Hatchback,1000 cc
Suzuki Mehran VX 1997,370000.0,1997,786,Petrol,Manual,Multan,White,Local,Hatchback,800 cc
Suzuki Every GA 2011,1350000.0,2011,122000,Petrol,Automatic,Karachi,White,Imported,Micro Van,660 cc
Toyota Corolla GLi Automatic 1.3 VVTi 2015,3095000.0,2015,112000,Petrol,Automatic,Islamabad,White,Local,Sedan,1300 cc
Honda Civic RS 2022,8095000.0,2022,70,Petrol,Automatic,Un-Registered,Black,Local,Sedan,1500 cc
Suzuki Swift DLX 1.3 2018,1695000.0,2018,70000,Petrol,Manual,Karachi,Grey,Local,Hatchback,1300 cc
Nissan Note 1.2E 2018,3785000.0,2018,58000,Petrol,Automatic,Un-Registered,White,Imported,Hatchback,1198 cc
Honda City Aspire Prosmatec 1.5 i-VTEC 2017,2895000.0,2017,60000,Petrol,Automatic,Lahore,White,Local,Sedan,1500 cc
Toyota Land Cruiser ZX 2018,Call for price,2018,56300,Petrol,Automatic,Un-Registered,White,Imported,SUV,4600 cc
Changan Alsvin 1.5L DCT Lumiere 2021,3275000.0,2021,25000,Petrol,Automatic,Lahore,White,Local,Sedan,1500 cc
Daihatsu Atrai Wagon 2014,1700000.0,2014,100000,Petrol,Automatic,Karachi,Black,Imported,,660 cc
Toyota Corolla Altis 1.8 2006,1495000.0,2006,113229,Petrol,Manual,Islamabad,Black,Local,Sedan,1800 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2018,4120000.0000000005,2018,105000,Petrol,Automatic,Lahore,White,Local,Sedan,1800 cc
Honda BR-V i-VTEC S 2021,4900000.0,2021,10000,Petrol,Automatic,Islamabad,White,Local,MPV,1500 cc
Honda City 1.3 i-VTEC 2021,3300000.0,2021,24000,Petrol,Manual,Punjab,White,Local,Sedan,1300 cc
Toyota Corolla GLi 1.3 VVTi 2018,2960000.0,2018,125000,Petrol,Manual,Lahore,Black,Local,Sedan,1300 cc
Suzuki Alto VXR 2021,2195000.0,2021,13500,Petrol,Manual,Punjab,White,Local,Hatchback,660 cc
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,1689999.9999999998,2011,1,Petrol,Automatic,Karachi,Maroon,Local,Sedan,1800 cc
Suzuki Cultus EURO II 2011,1100000.0,2011,91000,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Suzuki Cultus VXR 2017,1970000.0,2017,84000,Petrol,Manual,Lahore,Blue,Local,Hatchback,1000 cc
Daihatsu Charade CX Turbo 1993,275000.0,1993,195488,Petrol,Manual,Islamabad,White,Imported,Hatchback,1000 cc
Suzuki Wagon R VXL 2017,1730000.0,2017,68000,Petrol,Manual,Lahore,Grey,Local,Hatchback,1000 cc
Toyota Corolla Altis Automatic 1.6 2018,3700000.0,2018,71000,Petrol,Automatic,Lahore,White,Local,Sedan,1600 cc
Toyota Hilux Revo V Automatic 3.0  2017,8000000.0,2017,54000,Diesel,Automatic,Islamabad,Silver,Local,Double Cabin,3000 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2019,4400000.0,2019,56000,Petrol,Automatic,Lahore,Maroon,Local,Sedan,1800 cc
Suzuki Mehran VX 2008,700000.0,2008,49000,Petrol,Manual,Islamabad,White,Local,Hatchback,800 cc
Honda Vezel Hybrid Z 2018,5500000.0,2018,90000,Hybrid,Automatic,Lahore,White,Imported,Crossover,1500 cc
Toyota Corolla GLi Automatic 1.3 VVTi 2018,3415000.0,2018,67000,Petrol,Automatic,Karachi,White,Local,Sedan,1300 cc
Nissan Clipper NV100 2014,1475000.0,2014,110000,Petrol,Automatic,Karachi,White,Imported,Micro Van,660 cc
Toyota Passo G F Package 2007,1290000.0,2007,85000,Petrol,Automatic,Karachi,Assembly,Imported,Hatchback,1000 cc
MG HS 1.5 Turbo 2021,6800000.0,2021,5000,Petrol,Automatic,Islamabad,White,Imported,SUV,1500 cc
Toyota Vitz F 1.0 2018,3475000.0,2018,47500,Petrol,Automatic,Karachi,Black,Imported,Hatchback,1000 cc
Suzuki Swift GLX CVT 2022,3925000.0,2022,1000,Petrol,Automatic,Islamabad,Black,Local,Hatchback,1200 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2018,4650000.0,2018,22500,Petrol,Automatic,Lahore,Burgundy,Local,Sedan,1800 cc
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2008,1835000.0000000002,2008,180000,Petrol,Automatic,Islamabad,Black,Local,Sedan,1800 cc
KIA Picanto 1.0 AT 2021,2650000.0,2021,17000,Petrol,Automatic,Punjab,White,Local,Hatchback,1000 cc
Changan Karvaan Plus 2021,1985000.0000000002,2021,27000,Petrol,Manual,Karachi,White,Local,Mini Van,1000 cc
Honda City 1.5L ASPIRE CVT 2022,4225000.0,2022,5460,Petrol,Automatic,Karachi,White,Local,Compact sedan,1500 cc
Honda City Aspire Prosmatec 1.3 i-VTEC 2015,2850000.0,2015,120000,Petrol,Automatic,Lahore,Grey,Local,Sedan,1300 cc
Changan Karvaan Plus 2022,2360000.0,2022,10,Petrol,Manual,Un-Registered,White,Local,Mini Van,1000 cc
Daihatsu Mira L 2019,3050000.0,2019,22000,Petrol,Automatic,Karachi,Silver,Imported,Hatchback,660 cc
Suzuki Mehran VX 2010,470000.0,2010,85000,Petrol,Manual,Sindh,Grey,Local,Hatchback,800 cc
Suzuki Alto VXR 2021,1900000.0,2021,20134,Petrol,Manual,Karachi,White,Local,Hatchback,660 cc
KIA Grand Carnival GLS+ 2022,13500000.0,2022,250,Petrol,Automatic,Lahore,Blue,Imported,MPV,3500 cc
Suzuki Swift DLX 1.3 Navigation  2014,1590000.0,2014,95000,Petrol,Manual,Lahore,Gold,Local,Hatchback,1300 cc
Toyota Corolla GLi 1.3 VVTi 2016,2290000.0,2016,93000,Petrol,Manual,Karachi,Black,Local,Sedan,1300 cc
Suzuki Wagon R FX Limited 2014,1989999.9999999998,2014,100000,Petrol,Automatic,Islamabad,Black,Imported,Hatchback,660 cc
Toyota Mark X 250G 2005,3250000.0,2005,240000,Petrol,Automatic,Karachi,White,Imported,Sedan,2500 cc
Honda Vezel Hybrid RS Honda Sensing  2019,6525000.0,2019,40000,Hybrid,Automatic,Un-Registered,Black,Imported,Crossover,1500 cc
Suzuki Alto VXL AGS 2021,2260000.0,2021,28000,Petrol,Automatic,Islamabad,White,Local,Hatchback,660 cc
Honda City 1.3 i-VTEC 2016,2525000.0,2016,65000,Petrol,Manual,Lahore,White,Local,Sedan,1300 cc
Toyota Corolla Axio X 1.5 2007,2760000.0,2007,140000,Petrol,Automatic,Islamabad,White,Imported,Sedan,1500 cc
Mazda Scrum Wagon PZ TURBO 2008,1190000.0,2008,87000,Petrol,Automatic,Karachi,White,Imported,Mini Van,660 cc
Suzuki Swift GL CVT 2022,3475000.0,2022,1,Petrol,Automatic,Bhakkar,White,Local,Hatchback,1200 cc
KIA Grand Carnival GLS+ 2018,6400000.0,2018,81000,Petrol,Automatic,Islamabad,White,Imported,MPV,3342 cc
Toyota Corolla XLi 2003,1350000.0,2003,100000,Petrol,Manual,Lahore,White,Local,Sedan,1300 cc
Honda City i-DSI Vario 2005,1340000.0,2005,256838,Petrol,Automatic,Lahore,Silver,Local,Sedan,1300 cc
Suzuki Alto VXR 2020,1900000.0,2020,57000,Petrol,Manual,Sindh,White,Local,Hatchback,660 cc
Toyota Passo Moda G 2019,3750000.0,2019,43000,Petrol,Automatic,Un-Registered,Maroon,Imported,Hatchback,1000 cc
Suzuki Mehran VX (CNG) 2007,655000.0,2007,147000,Petrol,Manual,Rawalpindi,Blue,Local,Hatchback,800 cc
Honda City 1.3 i-VTEC 2015,2470000.0,2015,13,Petrol,Manual,Lahore,White,Local,Sedan,1300 cc
Hyundai Sonata 2.0 2021,7675000.0,2021,3000,Petrol,Automatic,Punjab,Black,Local,Sedan,2000 cc
MG HS 1.5 Turbo 2021,6050000.0,2021,9000,Petrol,Automatic,Punjab,White,Imported,SUV,1500 cc
Hyundai Santro Club 2005,765000.0,2005,192000,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota Hilux Revo V Automatic 2.8 2022,10500000.0,2022,1800,Diesel,Automatic,Un-Registered,White,Local,Double Cabin,2800 cc
Suzuki Swift GLX CVT 2022,Call for price,2022,6850,Petrol,Automatic,Islamabad,Silver,Local,Hatchback,1200 cc
Suzuki Alto VXR 2022,2150000.0,2022,1,Petrol,Manual,Un-Registered,White,Local,Hatchback,660 cc
Nissan Dayz Bolero J 2014,1810000.0000000002,2014,63000,Petrol,Automatic,Karachi,White,Imported,Hatchback,660 cc
Daihatsu Mira G SA III 2018,3285000.0,2018,20000,Petrol,Automatic,Un-Registered,Black,Imported,Hatchback,660 cc
Suzuki Cultus VXL 2003,625000.0,2003,99999,Petrol,Manual,Karachi,Silver,Local,Hatchback,1000 cc
Suzuki Alto VXR 2010,1080000.0,2010,98000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Toyota Vitz F 1.0 2014,2600000.0,2014,138000,Petrol,Automatic,Lahore,Silver,Imported,Hatchback,1000 cc
Toyota Corolla SE Limited 1995,1200000.0,1995,45055,Petrol,Manual,Peshawar,White,Local,Sedan,1500 cc
Suzuki Alto GII 2007,1350000.0,2007,129000,Petrol,Automatic,Lahore,White,Imported,Hatchback,660 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2021,Call for price,2021,19200,Petrol,Automatic,Islamabad,White,Local,Sedan,1800 cc
Suzuki Cultus VXL 2019,2395000.0,2019,92000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Suzuki Wagon R VXL 2016,1670000.0,2016,980000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Honda N Wgn G L Package 2018,2620000.0,2018,8500,Petrol,Automatic,Un-Registered,Burgundy,Imported,Hatchback,660 cc
Suzuki Mehran VXR Euro II 2017,1090000.0,2017,84000,Petrol,Manual,Lahore,Silver,Local,Hatchback,796 cc
Honda BR-V i-VTEC S 2020,3950000.0,2020,55000,Petrol,Automatic,Islamabad,Maroon,Local,MPV,1500 cc
Hyundai Santro Prime 2007,930000.0000000001,2007,172057,Petrol,Manual,Punjab,Blue,Local,Hatchback,1000 cc
Honda Vezel Hybrid X 2014,3750000.0,2014,116000,Petrol,Automatic,Punjab,Black,Imported,Crossover,1500 cc
Suzuki Cultus EURO II 2015,1290000.0,2015,70000,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Suzuki Mehran VX Euro II Limited Edition 2017,1150000.0,2017,32000,Petrol,Manual,Lahore,Silver,Local,Hatchback,796 cc
Toyota Corolla Altis Grande 1.8 2015,2875000.0,2015,150000,Petrol,Manual,Lahore,Black,Local,Sedan,1800 cc
Honda Vezel Hybrid Z Honda Sensing  2017,6000000.0,2017,43000,Petrol,Automatic,Un-Registered,Blue,Imported,Crossover,1500 cc
MG Other 2021,6195000.0,2021,12000,Petrol,Automatic,Punjab,White,Imported,,1500 cc
Toyota Avanza Standard 1.5 2018,4500000.0,2018,27000,Petrol,Manual,Islamabad,White,Imported,Mini Van,1500 cc
Honda Vezel Hybrid Z Honda Sensing  2015,4395000.0,2015,87000,Petrol,Automatic,Islamabad,Black,Imported,Crossover,1500 cc
Honda Vezel Hybrid Z Honda Sensing  2017,6095000.0,2017,57000,Petrol,Automatic,Un-Registered,Black,Imported,Crossover,1500 cc
Honda Vezel Hybrid Z Honda Sensing  2016,5600000.0,2016,40000,Petrol,Automatic,Lahore,White,Imported,Crossover,1500 cc
Toyota Corolla GLi Automatic 1.3 VVTi 2017,2995000.0,2017,91000,Petrol,Automatic,Lahore,White,Local,Sedan,1300 cc
Honda City 1.3 i-VTEC 2016,2525000.0,2016,105800,Petrol,Manual,Islamabad,Silver,Local,Sedan,1300 cc
Toyota C-HR 2017,6495000.0,2017,60776,Hybrid,Automatic,Un-Registered,White,Imported,,1800 cc
